epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3173,1.77959,3.48079,1.67213,0.52548,0.58233,0.55093,0.25257,1.77467,2.02036,1.68503,0.000298849,0.000298849,0.000298849
2,74.0564,1.70499,2.01774,1.54595,0.48901,0.52207,0.49264,0.22888,1.72845,2.08411,1.65057,0.000595891,0.000595891,0.000595891
3,109.566,1.76402,1.88663,1.62726,0.50198,0.53907,0.49722,0.23613,1.76333,1.88924,1.74209,0.000886933,0.000886933,0.000886933
4,145.474,1.76458,1.78356,1.62408,0.60206,0.4626,0.49294,0.22454,1.85524,2.26526,1.77126,0.000882003,0.000882003,0.000882003
5,181.251,1.75244,1.71253,1.58209,0.58904,0.54147,0.56206,0.26531,1.78794,1.70129,1.67878,0.000873004,0.000873004,0.000873004
6,217.738,1.72364,1.6688,1.59906,0.60286,0.58028,0.56683,0.26574,1.76296,1.5933,1.70182,0.000864004,0.000864004,0.000864004
7,258.886,1.74142,1.63865,1.62466,0.64321,0.63025,0.65265,0.31058,1.75659,1.49332,1.67325,0.000855005,0.000855005,0.000855005
8,294.98,1.67928,1.57344,1.55967,0.65467,0.64491,0.67707,0.33222,1.68423,1.41131,1.62167,0.000846006,0.000846006,0.000846006
9,328.88,1.66441,1.56633,1.57123,0.64503,0.65297,0.67211,0.3409,1.65168,1.38354,1.60334,0.000837007,0.000837007,0.000837007
10,363.091,1.68758,1.57844,1.60609,0.72171,0.65701,0.72416,0.36611,1.63529,1.32007,1.5792,0.000828008,0.000828008,0.000828008
11,397.018,1.64962,1.49423,1.57183,0.66953,0.72902,0.743,0.38498,1.64596,1.25738,1.59586,0.000819009,0.000819009,0.000819009
12,431.728,1.63934,1.43287,1.55694,0.7435,0.71639,0.74948,0.3824,1.60348,1.1761,1.56809,0.00081001,0.00081001,0.00081001
13,465.734,1.63801,1.43018,1.52193,0.74769,0.70699,0.77187,0.40467,1.60643,1.19953,1.54569,0.000801011,0.000801011,0.000801011
14,500.263,1.60677,1.41024,1.52282,0.75317,0.75666,0.7952,0.4236,1.53608,1.12321,1.50547,0.000792012,0.000792012,0.000792012
15,536.122,1.60906,1.3288,1.50862,0.73625,0.75347,0.7939,0.42063,1.58998,1.11668,1.53082,0.000783013,0.000783013,0.000783013
16,571.002,1.58442,1.3064,1.49564,0.76037,0.76739,0.78249,0.41848,1.53124,1.11854,1.50469,0.000774013,0.000774013,0.000774013
17,605.627,1.56112,1.30393,1.49617,0.78727,0.7864,0.8385,0.45592,1.53268,1.00029,1.49837,0.000765014,0.000765014,0.000765014
18,639.943,1.55526,1.2679,1.49421,0.78576,0.79615,0.84128,0.4688,1.4906,1.01767,1.47712,0.000756015,0.000756015,0.000756015
19,673.797,1.53322,1.25748,1.46255,0.76739,0.83126,0.8716,0.4981,1.4418,0.94645,1.43073,0.000747016,0.000747016,0.000747016
20,708.26,1.5249,1.24417,1.47498,0.8036,0.81224,0.84943,0.47174,1.45792,0.9537,1.46788,0.000738017,0.000738017,0.000738017
21,743.036,1.51239,1.22956,1.46392,0.79251,0.81423,0.84961,0.4845,1.44794,0.97094,1.45821,0.000729018,0.000729018,0.000729018
22,777.511,1.459,1.13058,1.44291,0.85091,0.80893,0.86823,0.49287,1.44713,0.88573,1.46037,0.000720019,0.000720019,0.000720019
23,811.952,1.50996,1.14661,1.45394,0.84752,0.81988,0.88281,0.52341,1.40648,0.85444,1.42252,0.00071102,0.00071102,0.00071102
24,846.4,1.4815,1.16728,1.45516,0.86748,0.83268,0.90083,0.53607,1.37122,0.84541,1.39212,0.000702021,0.000702021,0.000702021
25,881.4,1.44941,1.10715,1.44613,0.84387,0.85046,0.89858,0.52549,1.37867,0.86121,1.3893,0.000693022,0.000693022,0.000693022
26,916.143,1.42441,1.10936,1.41911,0.82421,0.81863,0.8735,0.50967,1.40386,0.88113,1.42161,0.000684022,0.000684022,0.000684022
27,950.79,1.43943,1.07337,1.40272,0.85902,0.82828,0.90119,0.53636,1.34977,0.81737,1.38937,0.000675023,0.000675023,0.000675023
28,1005.57,1.39785,1.03091,1.39536,0.87989,0.86107,0.91748,0.56185,1.30719,0.7651,1.35853,0.000666024,0.000666024,0.000666024
29,1045.13,1.37752,1.01224,1.37758,0.89225,0.85669,0.91897,0.5696,1.3001,0.75015,1.33628,0.000657025,0.000657025,0.000657025
30,1080.61,1.39412,1.00252,1.38748,0.90735,0.85885,0.92499,0.57366,1.25065,0.72299,1.29711,0.000648026,0.000648026,0.000648026
31,1116,1.37147,0.99909,1.37788,0.89475,0.87036,0.92583,0.58244,1.27049,0.75195,1.32288,0.000639027,0.000639027,0.000639027
32,1151.35,1.34926,0.97158,1.37406,0.88265,0.88687,0.92988,0.58533,1.25299,0.70993,1.29602,0.000630028,0.000630028,0.000630028
33,1186.56,1.35367,0.96074,1.34971,0.8994,0.89275,0.93737,0.59522,1.23312,0.69487,1.29501,0.000621029,0.000621029,0.000621029
34,1222.23,1.36368,0.95337,1.38539,0.90193,0.87994,0.94003,0.5836,1.30012,0.73729,1.35135,0.00061203,0.00061203,0.00061203
35,1256.4,1.3021,0.92193,1.33981,0.90285,0.89931,0.94616,0.61709,1.17956,0.6647,1.26412,0.000603031,0.000603031,0.000603031
36,1292.31,1.29948,0.90109,1.33307,0.9243,0.90592,0.9522,0.62775,1.16494,0.63833,1.2479,0.000594031,0.000594031,0.000594031
37,1328.18,1.25023,0.8848,1.31392,0.92289,0.90531,0.94684,0.61829,1.18422,0.6593,1.25941,0.000585032,0.000585032,0.000585032
38,1363.19,1.24511,0.87347,1.30642,0.90163,0.91156,0.94798,0.62192,1.17385,0.63719,1.24793,0.000576033,0.000576033,0.000576033
39,1398.04,1.27993,0.85636,1.3087,0.91744,0.91276,0.94891,0.62944,1.14287,0.62865,1.22932,0.000567034,0.000567034,0.000567034
40,1432.92,1.26626,0.84272,1.30316,0.92883,0.91985,0.95633,0.63582,1.1382,0.64412,1.23054,0.000558035,0.000558035,0.000558035
41,1467.78,1.23407,0.86391,1.28794,0.94991,0.92869,0.96069,0.65672,1.08411,0.57758,1.19425,0.000549036,0.000549036,0.000549036
42,1502.72,1.21795,0.83652,1.28519,0.93556,0.93799,0.96452,0.66625,1.05882,0.57433,1.16701,0.000540037,0.000540037,0.000540037
43,1537.55,1.16525,0.80528,1.25761,0.95108,0.92979,0.96521,0.66934,1.0449,0.56363,1.17389,0.000531038,0.000531038,0.000531038
44,1572.33,1.1841,0.80355,1.25994,0.92945,0.93396,0.9681,0.66906,1.04533,0.55315,1.17053,0.000522039,0.000522039,0.000522039
45,1606.99,1.21428,0.78319,1.27713,0.95184,0.93298,0.97148,0.67424,1.04774,0.54427,1.16776,0.00051304,0.00051304,0.00051304
46,1641.75,1.20104,0.81423,1.27824,0.94791,0.93864,0.97068,0.68078,1.03582,0.55442,1.15735,0.00050404,0.00050404,0.00050404
47,1676.83,1.18349,0.79659,1.25212,0.95016,0.94085,0.97436,0.6938,1.00908,0.5252,1.13458,0.000495041,0.000495041,0.000495041
48,1711.71,1.15762,0.78065,1.25093,0.95443,0.94201,0.97522,0.69332,0.99541,0.52634,1.12202,0.000486042,0.000486042,0.000486042
49,1746.01,1.14093,0.75684,1.22102,0.96002,0.94929,0.97975,0.68998,1.02872,0.51437,1.13363,0.000477043,0.000477043,0.000477043
50,1780.83,1.10197,0.73778,1.21268,0.96303,0.93971,0.97799,0.71253,0.96021,0.50672,1.10099,0.000468044,0.000468044,0.000468044
51,1815.34,1.09555,0.7387,1.21124,0.95782,0.94186,0.97885,0.70713,0.9755,0.5058,1.10928,0.000459045,0.000459045,0.000459045
52,1849.62,1.0943,0.74105,1.22555,0.94916,0.95082,0.97604,0.72348,0.91946,0.48601,1.08455,0.000450046,0.000450046,0.000450046
53,1885.54,1.11657,0.74519,1.21438,0.9598,0.95123,0.97781,0.72585,0.90647,0.48722,1.06515,0.000441047,0.000441047,0.000441047
54,1919.88,1.0511,0.71249,1.18129,0.96075,0.95748,0.98127,0.73068,0.89864,0.46393,1.06486,0.000432048,0.000432048,0.000432048
55,2181.95,1.06316,0.70745,1.18837,0.97155,0.95089,0.9848,0.74077,0.88811,0.45599,1.06136,0.000423049,0.000423049,0.000423049
56,2217.67,1.05622,0.68921,1.18598,0.97056,0.95054,0.98194,0.7343,0.89566,0.45423,1.06942,0.000414049,0.000414049,0.000414049
57,2249.46,1.02674,0.67284,1.16317,0.97323,0.95675,0.98597,0.74486,0.8734,0.4457,1.04152,0.00040505,0.00040505,0.00040505
58,2282.94,1.02936,0.6791,1.17236,0.97656,0.95675,0.98699,0.75665,0.84037,0.43032,1.02355,0.000396051,0.000396051,0.000396051
59,2313.78,0.99112,0.66087,1.15444,0.96297,0.95791,0.98448,0.76277,0.81098,0.42978,1.01318,0.000387052,0.000387052,0.000387052
60,2343.94,0.98581,0.66471,1.1519,0.97149,0.95863,0.98634,0.76803,0.7971,0.42042,1.00783,0.000378053,0.000378053,0.000378053
61,2373.69,1.01806,0.67689,1.16204,0.97147,0.96224,0.98793,0.76639,0.81605,0.42085,1.01251,0.000369054,0.000369054,0.000369054
62,2403.4,0.97124,0.65739,1.14261,0.97327,0.96442,0.98587,0.75649,0.82318,0.4285,1.0173,0.000360055,0.000360055,0.000360055
63,2433.65,0.98295,0.65544,1.13969,0.97429,0.966,0.98683,0.78336,0.76821,0.41255,0.99153,0.000351056,0.000351056,0.000351056
64,2464,0.96488,0.62916,1.12167,0.97954,0.95844,0.98631,0.77581,0.75743,0.40375,0.98321,0.000342057,0.000342057,0.000342057
65,2495.67,0.89964,0.60004,1.09842,0.97531,0.96762,0.98789,0.78918,0.72991,0.38827,0.96729,0.000333058,0.000333058,0.000333058
66,2527.88,0.91933,0.61056,1.11646,0.98643,0.96264,0.98919,0.78393,0.76574,0.3922,0.97942,0.000324058,0.000324058,0.000324058
67,2562.55,0.90082,0.58308,1.1113,0.98031,0.97021,0.98979,0.79939,0.72034,0.38065,0.95911,0.000315059,0.000315059,0.000315059
68,2594.06,0.90375,0.61066,1.10211,0.97959,0.97336,0.99038,0.79697,0.7237,0.37944,0.96124,0.00030606,0.00030606,0.00030606
69,2625.69,0.90932,0.58138,1.10117,0.98108,0.96695,0.9905,0.80642,0.68595,0.37213,0.94386,0.000297061,0.000297061,0.000297061
70,2656.3,0.86303,0.57011,1.10328,0.98012,0.96577,0.99,0.80022,0.71371,0.37575,0.95577,0.000288062,0.000288062,0.000288062
71,2686.92,0.8795,0.59502,1.09435,0.98991,0.9691,0.98893,0.81645,0.65777,0.3567,0.9319,0.000279063,0.000279063,0.000279063
72,2718.13,0.8607,0.58035,1.09033,0.98795,0.97332,0.99093,0.82021,0.6492,0.35017,0.92656,0.000270064,0.000270064,0.000270064
73,2749.06,0.87117,0.55975,1.0765,0.9841,0.97237,0.99211,0.81682,0.64606,0.35183,0.92271,0.000261065,0.000261065,0.000261065
74,2779.53,0.84659,0.5538,1.08146,0.98604,0.97579,0.99229,0.82228,0.63628,0.34226,0.91611,0.000252066,0.000252066,0.000252066
75,2810.83,0.81037,0.5313,1.05987,0.98403,0.97325,0.99183,0.82131,0.63814,0.34629,0.92127,0.000243067,0.000243067,0.000243067
76,2841.59,0.82513,0.5405,1.06272,0.99328,0.97688,0.99188,0.82756,0.62684,0.33981,0.90891,0.000234068,0.000234068,0.000234068
77,2872.28,0.81109,0.52296,1.05733,0.98684,0.98119,0.99182,0.83179,0.61392,0.32929,0.90438,0.000225068,0.000225068,0.000225068
78,2903.15,0.81564,0.5239,1.05818,0.98699,0.98157,0.99163,0.83832,0.60516,0.33074,0.89956,0.000216069,0.000216069,0.000216069
79,2934.23,0.80034,0.51346,1.05273,0.98697,0.97961,0.99243,0.8469,0.58823,0.32091,0.886,0.00020707,0.00020707,0.00020707
